layer,context,response_idx,predicted_emotion,correct,correct_sim,sim_afraid,sim_angry,sim_anxious,sim_devastated,sim_lonely,sim_sad,sim_terrified,sim_furious,sim_grateful,sim_hopeful,sim_faithful
0,afraid,0,anxious,False,0.7278930958122205,0.7278930958122205,0.6958572144260884,0.7377794481769152,0.6908736171785372,0.713851751975768,0.710181832740501,0.7159557679682573,0.7034265741874586,0.719264176234743,0.7245313144961546,0.7248932268614099
0,afraid,1,sad,False,0.7157249280289573,0.7157249280289573,0.6916848928346628,0.7162138398753966,0.6921613576716139,0.7086194977907566,0.7165240906262449,0.7087431591537038,0.6932956738204836,0.7127150859638169,0.7024612082763935,0.7115138211623868
0,afraid,2,hopeful,False,0.6855894295852878,0.6855894295852878,0.6733856883956808,0.6947764829900508,0.6675954883256996,0.6883416692300068,0.6840994006987824,0.6844284141923096,0.678212684654053,0.6919107677557006,0.6998112784244159,0.6960019841070261
0,afraid,3,sad,False,0.6017407776382018,0.6017407776382018,0.5693997288805515,0.6069917985974846,0.5936279323101687,0.6035965141663175,0.6297626652505639,0.5855949577888011,0.5706178913654866,0.601149097259482,0.5882478471662015,0.6013840526088909
0,afraid,4,faithful,False,0.7770076424194271,0.7770076424194271,0.7324841537987146,0.7825844457533184,0.7254930122677352,0.7615999689201522,0.7515651144450253,0.7647702412195635,0.7429945719245735,0.7799925496859933,0.7825959654358874,0.7856101752354376
0,afraid,5,anxious,False,0.6718484046891313,0.6718484046891313,0.6696600679433526,0.6840783736397135,0.6636899795006284,0.6709569974005646,0.6777170670040303,0.676298517014999,0.6776359407795312,0.6732182661304256,0.6674712713842372,0.6793599502334792
0,afraid,6,terrified,False,0.7631753111238868,0.7631753111238868,0.7274689633003375,0.7354237133409492,0.7223299002390238,0.7132513023142402,0.7338356146767655,0.7671760002510428,0.7378543816082207,0.7251418754996688,0.7244082379195126,0.7269975418849881
0,afraid,7,faithful,False,0.7324415227572041,0.7324415227572041,0.7133622832924784,0.7339040311130284,0.7029294380025162,0.7236574337268705,0.719115829088167,0.7372660980726851,0.7242373667589934,0.7318148067694579,0.7275166845827237,0.7393817463721756
0,afraid,8,anxious,False,0.7415003537596063,0.7415003537596063,0.7132346412417808,0.7570509183897713,0.7064535349616401,0.7285191026074272,0.7309281540525883,0.73372807868974,0.7201654070680301,0.7363207914770185,0.7397701808791216,0.7505424126203694
0,afraid,9,devastated,False,0.24385283721847775,0.24385283721847775,0.284675965712302,0.24096659421516603,0.3047088511400093,0.28249320343877,0.29879227328746627,0.21158844400494053,0.2571731088048652,0.2277372240873067,0.2516525799921895,0.23609690014606133
0,afraid,10,sad,False,0.5841547262225624,0.5841547262225624,0.5728974029612899,0.5686379056702185,0.5931712896031057,0.589142372933872,0.5989764349220144,0.5800514398006051,0.5727403304970825,0.5699192907867081,0.5701904606050712,0.5801092463708404
0,afraid,11,sad,False,0.518115320802575,0.518115320802575,0.5032509656614401,0.5318492304070251,0.5189022568603749,0.5389224922293694,0.5612142420408959,0.49252002702382547,0.4864393053298182,0.506838622636141,0.5188956126792315,0.5290479520440121
0,afraid,12,devastated,False,0.19296969396944352,0.19296969396944352,0.2334188330542015,0.1896884779664314,0.24863528146307196,0.2265596097128639,0.24810638751484854,0.16416830418676243,0.2015598668144531,0.17619606208593938,0.19422989834417287,0.1842941759475022
0,afraid,13,faithful,False,0.6287688660599619,0.6287688660599619,0.6159785414792994,0.6340820303185617,0.6179030941758421,0.6466366088746476,0.634143006101812,0.618729804217454,0.6122868844655918,0.6314459457448551,0.6265345434623841,0.6590834671898727
0,afraid,14,devastated,False,0.18752034656203947,0.18752034656203947,0.22937905478314377,0.18630598183452635,0.24810799980394138,0.2132830076786574,0.23990868626784817,0.16021686929132406,0.2011937674617938,0.16958989902493132,0.1886020239855882,0.17578441188717858
