context,correct_sim,predicted_emotion,correct,sim_afraid,sim_angry,sim_anxious,sim_devastated,sim_lonely,sim_sad,sim_terrified,sim_furious,sim_grateful,sim_hopeful,sim_faithful
afraid,0.9977338223226881,hopeful,False,0.9977338223226881,0.997761281318255,0.9978015430383252,0.9977203330020208,0.9977796558291517,0.9978145202558173,0.9972507727683046,0.9976461882087155,0.9975636685104756,0.9978201479121823,0.9977067547301556
afraid,0.9980379871714575,sad,False,0.9980379871714575,0.9981409397854956,0.9981641434837146,0.9981867480771286,0.9982808085599741,0.9983361158577538,0.9973049009500549,0.9979824008955491,0.99794309118588,0.998199749327717,0.9980348150214011
afraid,0.9976897819078858,hopeful,False,0.9976897819078858,0.9977270232803759,0.9977618765732486,0.997645636475528,0.9976252449318002,0.9976740465822763,0.9974810835221127,0.9977080550271347,0.9976877388371528,0.9978132626134091,0.9977738488313195
afraid,0.9975264115104661,sad,False,0.9975264115104661,0.9977717855356603,0.9975839810125716,0.9979112233875901,0.9980565283894233,0.9980861480683594,0.996347166431613,0.997437007500499,0.9972388159638522,0.9977923835677165,0.9975464041263902
afraid,0.9983002569606072,lonely,False,0.9983002569606072,0.9983107608389641,0.9983386569026701,0.9983825614557549,0.9985153726319753,0.9984847754825354,0.9976523958680369,0.9981464714514197,0.9982108685115741,0.9984421838683872,0.9983910610962232
afraid,0.998081489931656,angry,False,0.998081489931656,0.9983026231081087,0.9980849193589599,0.9981983593481432,0.9982138428593024,0.9982845587146985,0.9975307698462064,0.9981751246602947,0.9980065687353741,0.9981887846888937,0.9981179114121568
afraid,0.9978522717620588,afraid,True,0.9978522717620588,0.9977478838381134,0.9976364874247203,0.9975972416564358,0.9974421488712139,0.9975891010373767,0.997775183122307,0.9977514348034533,0.9975575377278545,0.9975016662642225,0.9976329839485086
afraid,0.9979381774492178,angry,False,0.9979381774492178,0.9980863146205206,0.9978899397407799,0.9979902030990117,0.9978829896931918,0.9980027554995206,0.9976847172001286,0.9980523858942802,0.9977920992300007,0.9978865610230734,0.9979311987895041
afraid,0.9983320160289386,lonely,False,0.9983320160289386,0.9983700787823991,0.9983972241321615,0.9982577275973028,0.9984364799464965,0.9983879152696606,0.9977602827747297,0.9982489939208403,0.9981875326831171,0.9983172268653825,0.9983350910352125
afraid,0.9965535933104788,lonely,False,0.9965535933104788,0.9969485037499365,0.9965376465817954,0.9971940748303975,0.9973642224388656,0.9973553746632905,0.9950245480707096,0.9964937831018404,0.9961047528002882,0.9969201834770667,0.9966078612785997
afraid,0.9980970308053512,sad,False,0.9980970308053512,0.9982897429249575,0.9980304064170126,0.9984871308909573,0.9985764392829399,0.9986078372814717,0.9970261360714344,0.997982757249346,0.9977668154747452,0.9982628055771468,0.998136913792667
afraid,0.9975624898000112,sad,False,0.9975624898000112,0.997865682344987,0.9975869225249423,0.9980483010176302,0.998212709720447,0.9982177824425517,0.9962506128085525,0.9974802444190392,0.9972170420895942,0.9978925829077002,0.9976219441208295
afraid,0.99700859140817,lonely,False,0.99700859140817,0.9973681999543101,0.9969991952696136,0.9975925140668902,0.99775813556426,0.9977548492301196,0.9955683340943776,0.9969440623091235,0.9965868105639983,0.9973495214597518,0.9970602081574
afraid,0.9982200453553634,lonely,False,0.9982200453553634,0.9983715480173674,0.9982527420734137,0.9985160508539442,0.9986185650774333,0.9985938229621619,0.9974625307201976,0.9981479693435203,0.9980808215327479,0.9983721786702706,0.9984010238927981
afraid,0.9969389472613208,lonely,False,0.9969389472613208,0.9972997618872013,0.9969300915671386,0.9975247434774399,0.9976873881903978,0.9976843759670098,0.9954865962452707,0.9968722378495531,0.9965072315816352,0.997283687071686,0.9969832129038355
afraid,0.9981455886829836,sad,False,0.9981455886829836,0.9983333259293184,0.9982126062492094,0.9984778945705987,0.9986432251573715,0.9986473306949875,0.997053048964605,0.9980219282011569,0.9979046469349611,0.9984491013239447,0.9982317427467309
afraid,0.9930348197425729,terrified,False,0.9930348197425729,0.9926706743656439,0.9923204556450537,0.9922629903748919,0.9918392670907252,0.9920539816061837,0.9940538661800155,0.9930273889005687,0.9926166095712203,0.9918051056393569,0.9923637905726843
afraid,0.992940240691657,terrified,False,0.992940240691657,0.9923888503376547,0.9927985414212588,0.9921125267339526,0.9917820287745072,0.9919083305659957,0.993991423964099,0.9928018706481919,0.9928981930085452,0.9923513771730321,0.9925629383687465
afraid,0.9981175079222293,lonely,False,0.9981175079222293,0.9983173827559849,0.9981779533547851,0.9983670716841825,0.9984968157146901,0.9984918955944257,0.9972002502865828,0.9980587419445248,0.9978768251629657,0.9983604716746395,0.9981584188727429
afraid,0.9976607401523251,sad,False,0.9976607401523251,0.9977782594454361,0.9977432997865655,0.9977622878805116,0.997851316256251,0.9978942298678978,0.9970285825613893,0.9976238438361266,0.997582161436684,0.9977919100025185,0.9977692895367222
afraid,0.9978370251351364,lonely,False,0.9978370251351364,0.9980299503545432,0.9979119611794941,0.9980504486261111,0.998148317600934,0.9981386016943863,0.9970404391389006,0.9978396098640775,0.9977287520326925,0.9980922919209303,0.9979218293624482
afraid,0.9975059405993627,lonely,False,0.9975059405993627,0.997801950353433,0.997514010269076,0.9979736298383939,0.9981390289927923,0.9981304098734527,0.9962356381677961,0.9974291063938613,0.997164299784106,0.9978142630331462,0.9975584406969191
afraid,0.9979148649519493,lonely,False,0.9979148649519493,0.9979183558819382,0.9979960167296633,0.9978010497764085,0.9980175427961095,0.9979223078223814,0.9973914646247615,0.9978013277597543,0.9978505818342944,0.9980138112920397,0.998002638361145
